term	reading	frequency	kana_frequency
シカゴ	シカゴ	39107	
子豚	こぶた	39108	107616
銀製	ぎんせい	39109	271785
隠滅	いんめつ	39110	114203
まっぴらごめん	まっぴらごめん	39111	
分の悪い	ぶのわるい	39112	
ＥＣ	イーシー	39113	
インコ	インコ	39114	
電信	でんしん	39115	162826
西瓜	すいか	39116	51084
流行病	りゅうこうびょう	39117	
穏当	おんとう	39118	196378
出火	しゅっか	39119	191627
予備軍	よびぐん	39120	
パワーバランス	パワーバランス	39121	
出ておいで	でておいで	39122	168069
膀胱	ぼうこう	39123	113859
豪華絢爛	ごうかけんらん	39124	203362
手が込む	てがこむ	39125	
紙屑	かみくず	39126	112528
エヴァ	エヴァ	39127	
子役	こやく	39128	212321
叫喚	きょうかん	39129	
除名	じょめい	39130	207022
短慮	たんりょ	39131	265595
一人用	ひとりよう	39132	
使わす	つかわす	39133	28596
高濃度	こうのうど	39134	
不鮮明	ふせんめい	39135	
ラインハルト	ラインハルト	39136	
学祭	がくさい	39137	
復讐者	ふくしゅうしゃ	39138	
トランペット	トランペット	39139	
最多	さいた	39140	113370
水商売	みずしょうばい	39141	227558
出がけ	でがけ	39142	
サード	サード	39143	
首魁	しゅかい	39144	
無暗	むやみ	39145	11988
紙パック	かみパック	39146	
まんこ	まんこ	39147	
小食	しょうしょく	39148	194040
ささくれ立つ	ささくれだつ	39149	51986
例え話	たとえばなし	39150	148078
ぺしゃんこ	ぺしゃんこ	39151	
盗み見	ぬすみみ	39152	
イザベラ	イザベラ	39153	
特化型	とっかがた	39154	310740
風呂敷包み	ふろしきづつみ	39155	96380
支流	しりゅう	39156	
棒切れ	ぼうきれ	39157	227359
熱愛	ねつあい	39158	249933
どうなることやら	どうなることやら	39159	
重い腰を上げる	おもいこしをあげる	39160	
目じゃない	めじゃない	39161	166905
無頼	ぶらい	39162	105175
皆の衆	みなのしゅう	39163	
家庭料理	かていりょうり	39164	
ごち	ごち	39165	
箱入り娘	はこいりむすめ	39166	
ベラ	ベラ	39167	
破壊工作	はかいこうさく	39168	
毛深い	けぶかい	39169	
発破をかける	はっぱをかける	39170	107285
口開け	くちあけ	39171	256426
早いこと	はやいこと	39172	149784
軽トラック	けいトラック	39173	
調印	ちょういん	39174	158319
設問	せつもん	39175	204090
武装集団	ぶそうしゅうだん	39176	
ハッピーバースデー	ハッピーバースデー	39177	
放送局	ほうそうきょく	39178	313061
恋情	れんじょう	39179	185606
ごほごほ	ごほごほ	39180	
おんぼろ	おんぼろ	39181	
精神論	せいしんろん	39182	316784
ちゃち	ちゃち	39183	
行き違う	ゆきちがう	39184	165285
怖いもの知らず	こわいものしらず	39185	240516
きす	きす	39186	
けしき	けしき	39187	
せかい	せかい	39188	
つくりだす	つくりだす	39189	
バシャバシャ	バシャバシャ	39190	
柚	ゆず	39191	31291
くるま	くるま	39192	
トチ	トチ	39193	
かたる	かたる	39194	
おいる	おいる	39195	
ヤード	ヤード	39196	
おてんば	おてんば	39197	
ぴしっと	ぴしっと	39198	
のぞむ	のぞむ	39199	
のぞき見	のぞきみ	39200	
江戸城	えどじょう	39201	291966
観測者	かんそくしゃ	39202	
生産力	せいさんりょく	39203	
沈殿	ちんでん	39204	125337
次男坊	じなんぼう	39205	303293
祭司	さいし	39206	
おけ	おけ	39207	
実利	じつり	39208	
差し替える	さしかえる	39209	167730
気分次第	きぶんしだい	39210	
恐怖症	きょうふしょう	39211	
冬服	ふゆふく	39212	
数の暴力	かずのぼうりょく	39213	
人っ子一人	ひとっこひとり	39214	164422
自由主義	じゆうしゅぎ	39215	287549
早目	はやめ	39216	
ローファー	ローファー	39217	
とほほ	とほほ	39218	
腹に据えかねる	はらにすえかねる	39219	
自動人形	じどうにんぎょう	39220	304505
マルチ	マルチ	39221	
フェス	フェス	39222	
積雪	せきせつ	39223	285752
異口同音	いくどうおん	39224	150544
民草	たみくさ	39225	281100
四文字	よんもじ	39226	
仇を取る	かたきをとる	39227	117256
すっぽ抜ける	すっぽぬける	39228	125135
リヴァイアサン	リヴァイアサン	39229	
ケラ	ケラ	39230	
然し	しかし	39231	129
民主	みんしゅ	39232	
磁気	じき	39233	170001
変事	へんじ	39234	
切り結ぶ	きりむすぶ	39235	253445
ビジネスマン	ビジネスマン	39236	
割高	わりだか	39237	256693
内容的	ないようてき	39238	
内腿	うちもも	39239	
瑠璃色	るりいろ	39240	192448
面接官	めんせつかん	39241	
固定観念	こていかんねん	39242	
人喰い	ひとくい	39243	202669
給湯室	きゅうとうしつ	39244	292124
梶	かじ	39245	
プログラマー	プログラマー	39246	
頭を過ぎる	あたまをよぎる	39247	311526
遅まきながら	おそまきながら	39248	136324
球技	きゅうぎ	39249	241405
足運び	あしはこび	39250	
ケイン	ケイン	39251	
わんこ	わんこ	39252	
客観	きゃっかん	39253	231602
相討ち	あいうち	39254	189919
言下	げんか	39255	
礼を尽くす	れいをつくす	39256	311456
細る	ほそる	39257	121825
依代	よりしろ	39258	236350
後家	ごけ	39259	79398
マイルド	マイルド	39260	
微力	びりょく	39261	282427
田圃	たんぼ	39262	50897
松林	まつばやし	39263	
お任せあれ	おまかせあれ	39264	85927
猜疑	さいぎ	39265	64883
水泡	すいほう	39266	166689
出来立て	できたて	39267	42194
望外	ぼうがい	39268	142675
予定変更	よていへんこう	39269	
ヒュドラ	ヒュドラ	39270	
ミル	ミル	39271	
カフェイン	カフェイン	39272	
我流	がりゅう	39273	
水やり	みずやり	39274	283658
残高	ざんだか	39275	
言うに及ばず	いうにおよばず	39276	152802
オーバーヒート	オーバーヒート	39277	
暖を取る	だんをとる	39278	
お座敷	おざしき	39279	183891
ファンファーレ	ファンファーレ	39280	
ＰＴＡ	ピーティーエー	39281	272216
生物兵器	せいぶつへいき	39282	259693
めくり上げる	めくりあげる	39283	48996
早変わり	はやがわり	39284	202479
はした金	はしたがね	39285	
ぶい	ぶい	39286	
さしつかえる	さしつかえる	39287	
ブーン	ブーン	39288	
どたばた	どたばた	39289	
ひと呼吸	ひとこきゅう	39290	
ふぜい	ふぜい	39291	
ぶ厚い	ぶあつい	39292	64489
あたり前	あたりまえ	39293	11598
目をとめる	めをとめる	39294	305637
いつにもまして	いつにもまして	39295	
お姫様だっこ	おひめさまだっこ	39296	210885
ゆすぶる	ゆすぶる	39297	
アカネ	アカネ	39298	
いよう	いよう	39299	
りす	りす	39300	
たゆむ	たゆむ	39301	
洛	らく	39302	
焼きそばパン	やきそばパン	39303	112046
席上	せきじょう	39304	201098
自分の為に	じぶんのために	39305	191203
波間に	なみまに	39306	295953
犯人捜し	はんにんさがし	39307	
道なりに	みちなりに	39308	265904
御法度	ごはっと	39309	137864
真っ二つ	まっぷたつ	39310	44290
ザリガニ	ザリガニ	39311	
遍歴	へんれき	39312	220924
よっこらしょ	よっこらしょ	39313	
ペン先	ペンさき	39314	287665
殊	こと	39315	
液状	えきじょう	39316	272138
ばっちい	ばっちい	39317	
ショルダーバッグ	ショルダーバッグ	39318	
講演会	こうえんかい	39319	247579
過労死	かろうし	39320	231014
いつものごとく	いつものごとく	39321	
失血死	しっけつし	39322	
ガル	ガル	39323	
ウェイ	ウェイ	39324	
砲口	ほうこう	39325	
宇都宮	うつのみや	39326	167486
乗り捨てる	のりすてる	39327	212196
よっこいしょ	よっこいしょ	39328	
育ちの良い	そだちのいい	39329	
初春	しょしゅん	39330	309241
ショーウィンドウ	ショーウィンドウ	39331	
となるために	となるために	39332	
異常気象	いじょうきしょう	39333	244034
惨たらしい	むごたらしい	39334	36896
アフロ	アフロ	39335	
まみえる	まみえる	39336	
比べ物	くらべもの	39337	94747
テラ	テラ	39338	
初期化	しょきか	39339	
クソ女	くそおんな	39340	
平身低頭	へいしんていとう	39341	232315
元気良く	げんきよく	39342	
ぬるっと	ぬるっと	39343	
死相	しそう	39344	
熟達	じゅくたつ	39345	234242
暮らしぶり	くらしぶり	39346	195990
セラ	セラ	39347	
代弁者	だいべんしゃ	39348	
生活圏	せいかつけん	39349	311777
咎人	とがにん	39350	
臆測	おくそく	39351	106260
相手が悪い	あいてがわるい	39352	
レイチェル	レイチェル	39353	
資本家	しほんか	39354	
黎明	れいめい	39355	94410
天文学	てんもんがく	39356	
亘る	わたる	39357	5990
愛犬	あいけん	39358	169308
グレード	グレード	39359	
爆撃機	ばくげきき	39360	
幕間	まくあい	39361	131204
俯ける	うつむける	39362	219267
表門	おもてもん	39363	
疎ら	まばら	39364	10094
長きに渡る	ながきにわたる	39365	303185
派閥争い	はばつあらそい	39366	
国名	こくめい	39367	
若年	じゃくねん	39368	89759
β	ベータ	39369	41257
日輪	にちりん	39370	141313
くなん	くなん	39371	
オバ	オバ	39372	
真っ平	まっぴら	39373	26398
あくせく	あくせく	39374	
ビン	ビン	39375	
くすぐり	くすぐり	39376	
お手のもの	おてのもの	39377	190110
がしゃん	がしゃん	39378	
殺気だつ	さっきだつ	39379	67395
ちかく	ちかく	39380	
腹ばい	はらばい	39381	
フンフン	フンフン	39382	
ホウ	ホウ	39383	
取り次ぎ	とりつぎ	39384	103934
いいだす	いいだす	39385	
ヤス	ヤス	39386	
えもの	えもの	39387	
こじあける	こじあける	39388	
人なつっこい	ひとなつっこい	39389	137074
たもつ	たもつ	39390	
耳をかたむける	みみをかたむける	39391	
さっそう	さっそう	39392	
こげる	こげる	39393	
ふりかかる	ふりかかる	39394	
えぞ	えぞ	39395	
人のいい	ひとのいい	39396	150232
べらぼう	べらぼう	39397	
ソノ	ソノ	39398	
がれき	がれき	39399	
すぐる	すぐる	39400	
伝	つて	39401	15596
にゃんにゃん	にゃんにゃん	39402	
殺人現場	さつじんげんば	39403	
懇親会	こんしんかい	39404	292757
支配力	しはいりょく	39405	
建設中	けんせつちゅう	39406	
粋がる	いきがる	39407	57385
名産	めいさん	39408	177378
ロッジ	ロッジ	39409	
要注意人物	ようちゅういじんぶつ	39410	
エリザ	エリザ	39411	
宗	むね	39412	80623
御免なさい	ごめんなさい	39413	685
信義	しんぎ	39414	
反証	はんしょう	39415	115262
フルート	フルート	39416	
間も無く	まもなく	39417	199847
妥協案	だきょうあん	39418	283083
放し飼い	はなしがい	39419	
交響曲	こうきょうきょく	39420	
異教	いきょう	39421	
脈を打つ	みゃくをうつ	39422	
門柱	もんちゅう	39423	
前借り	まえがり	39424	260746
チープ	チープ	39425	
全壊	ぜんかい	39426	
メリハリ	メリハリ	39427	
前後不覚	ぜんごふかく	39428	291043
憲兵隊	けんぺいたい	39429	284387
砲火	ほうか	39430	
碑	いしぶみ	39431	134728
人懐こい	ひとなつこい	39432	153500
肩紐	かたひも	39433	255212
苔むす	こけむす	39434	125180
ディー	ディー	39435	
貞	てい	39436	
セント	セント	39437	
壜	びん	39438	22712
一思いに	ひとおもいに	39439	114367
カレーパン	カレーパン	39440	
一子	いっし	39441	165757
鷺	さぎ	39442	
運気	うんき	39443	
もじゃもじゃ	もじゃもじゃ	39444	
全国各地	ぜんこくかくち	39445	
身を清める	みをきよめる	39446	
重病	じゅうびょう	39447	181042
ポー	ポー	39448	
片翼	かたよく	39449	
肉体関係	にくたいかんけい	39450	
テロップ	テロップ	39451	
小気味良い	こきみよい	39452	195327
蜻蛉	とんぼ	39453	43294
我が輩	わがはい	39454	158977
非人間的	ひにんげんてき	39455	
好成績	こうせいせき	39456	309810
一周回って	いっしゅうまわって	39457	
亡国	ぼうこく	39458	227033
滑車	かっしゃ	39459	86156
叩き切る	たたききる	39460	184153
換気扇	かんきせん	39461	277931
常道	じょうどう	39462	219305
話題性	わだいせい	39463	
